number,title,genre,rating,casting,place,period
98,"세종, 1446",뮤지컬,9.4,"['정상윤', '박유덕', '남경주', '김주호', '고영빈', '박소연', '김지유', '정연', '이경수', '이준혁', '장지후', '박정원', '김준영', '황민수', '이지석', '김준우', '조영아', '김재희']",국립중앙박물관 극장 용,2019/10/03 ~ 2019/12/01 
99,세례요한,창작,10,"['손건우', '오우철']",북촌나래홀,2019/12/21 ~ 2021/03/01 
100,시티오브엔젤,라이선스,8.4,"['이종석', '최재림', '강홍석', '이지훈', '테이', '정준하', '임기홍', '백주희', '가희', '리사', '방진의', '김경선', '박혜나', '김소정', '송형은', '이든', '황두현', '김성수', '김대호']",충무아트센터 대극장,2019/08/07 ~ 2019/10/20 
101,싯다르타,창작,9.4,"['이유', '곽동현', '김석환', '노을', '최은미', '최동호', '서승원', '이훈진', '배준성', '윤주희', '이승연', '이화진', '강민수', '구명훈', '전용범', '이소혜', '정민정', '이나경', '강민지', '고준오']",서울 올림픽 공원 우리금융아트홀,2019/09/05 ~ 2019/09/29 
102,나빌레라,창작,8.9,"['진선규', '최인형', '강상준', '이찬동', '정유희', '김백현', '이혜수', '신상언', '금승훈', '김용한', '유경아', '장동혁', '조은진']",예술의전당 CJ 토월극장,2019/05/01 ~ 2019/05/12 
103,빈센트 반 고흐,창작,9.4,"['이준혁', '조형균', '김대현', '배두훈', '박유덕', '박정원', '송유택', '황민수']",예스24스테이지 1관,2019/12/07 ~ 2020/03/01 
104,어린왕자,뮤지컬,9.5,"['루이스초이', '정동화', '박정원', '이우종', '김리', '김환희']",예스24스테이지 1관,2019/03/08 ~ 2019/04/07 
105,해적,창작,9.6,"['김순택', '임찬민', '백기범', '랑연', '현석준', '노윤']",대학로 드림아트센터 2관,2019/03/10 ~ 2019/05/19 
106,블루 사이공,창작,4.7,"['안덕용', '박영수', '정재은', '문혜원', '김준겸', '정순원', '김일교', '신윤철', '황승빈', '김명애', '박옥출', '조민희', '이여운', '이여운', '임준영', '홍정연']",대학로예술극장 대극장,2019/06/28 ~ 2019/06/30 
107,섬,뮤지컬,9.9,"['정운선', '백은혜', '이현진', '박란주', '이선근', '차용학', '권동호', '신창주', '이아름솔', '김대웅', '정소리', '임규형']",우란문화재단 우란2경,2019/07/05 ~ 2019/07/21 
108,너를 위한 글자,창작,9.5,"['강필석', '정동화', '정욱진', '윤소호', '이정화', '강혜인', '이봄소리', '서혜원', '에녹', '정상윤', '이용규', '백승렬', '임별']",예스24스테이지 1관,2019/07/06 ~ 2019/09/01 
109,키다리 아저씨,라이선스,9.5,"['강필석', '신성록', '송원근', '김지철', '유주혜', '강지혜', '이아진']",대학로 드림아트센터 1관,2019/10/15 ~ 2020/01/01 
110,오늘 처음 만드는 뮤지컬,창작,9.2,"['이영미', '한세라', '김현준', '이정수', '소정화', '안창용', '김승용', '박은미', '정다희', '김태형', '이안나', '장우성']",서경대학교 공연예술센터 SKON2관,2019/04/12 ~ 2019/05/26 
111,루드윅,창작,9.4,"['서범석', '김주호', '이주광', '테이', '이용규', '강찬', '박준휘', '조환지', '김소향', '김지유', '선우', '김려원', '차성제', '이시목', '강수영']",대학로 드림아트센터 1관,2019/04/09 ~ 2019/06/30 
112,오시에 오시게,창작,9.3,"['안이호', '유성재', '김승용', '임찬민', '박준휘']",정동극장(서울),2019/10/04 ~ 2019/10/27 
113,엘리자벳 ,라이선스,9.5,"['옥주현', '김소현', '신영숙', '박형식', '정택운(빅스, 레오)', '이지훈', '박강현', '민영기', '손준호', '이소유', '이태원', '윤소호', '최우혁', '최병광', '한지연', '김정겸', '김지훈', '차형도', '원성준', '신지섭']",성남아트센터 오페라하우스,2019/04/12 ~ 2019/04/14 
114,창문너머 어렴풋이,창작,9.4,"['나현우', '엄태형', '박재한', '서찬양', '최은실', '최병철', '이민규', '박수야', '김주영', '임종완', '권혁선']",성수아트홀,2019/05/04 ~ 2019/06/02 
115,정글라이프,창작,9.1,"['강은일', '조원석', '김준영', '이경수', '주종혁', '박웅', '최호승', '유환웅', '하미미', '안지현', '신진경', '고현경', '양승리', '김진철', '손지애', '주다온', '허윤혜', '최유찬', '김영진', '유동훈', '강웅곤', '송나영', '원근영']",대학로 고스트씨어터(구.씨어터다소니),2019/08/10 ~ 2019/10/06 
